Num Devices,Timestamp,Accuracy
20,2011-05-11-20-11-47,0.903554239171
20,2011-05-05-14-19-00,0.903547054181
20,2011-11-03-18-19-28,0.908224425417
20,2011-07-25-19-56-56,0.910394520939
20,2011-11-22-13-01-21,0.907293857222
20,2011-09-22-11-32-34,0.910689088848
20,2011-09-28-02-30-26,0.910268206284
20,2011-06-29-13-25-12,0.903879889732
20,2011-07-07-12-02-37,0.903897514825
20,2011-11-23-14-30-40,0.907306168522
20,2011-03-24-19-29-31,0.904765293294
20,2011-06-13-19-00-08,0.90402759692
20,2011-12-02-15-47-00,0.907135896527
20,2011-06-02-10-54-15,0.904378091225
20,2011-06-23-11-02-50,0.903879889732
20,2011-05-09-12-29-32,0.903567783242
20,2011-01-25-12-07-04,0.904808660624
20,2011-12-07-12-52-56,0.907024152448
20,2011-01-26-14-19-45,0.905487104921
20,2011-06-09-12-49-21,0.90402759692
20,2011-05-13-12-51-21,0.903495792102
20,2011-05-20-17-00-21,0.903536531843
20,2011-02-16-14-07-09,0.905418444038
20,2011-12-08-13-43-34,0.907098005281
20,2011-05-26-12-15-02,0.903449071404
20,2011-11-10-19-42-09,0.908215920309
20,2011-11-07-16-05-06,0.908223217703
20,2011-08-20-22-08-35,0.910792456402
20,2011-08-29-15-18-02,0.910473564937
20,2011-09-13-11-12-10,0.910409198827
20,2011-05-12-12-44-30,0.903495792102
20,2011-10-16-12-57-46,0.911195324628
20,2011-01-03-16-43-36,0.893320428741
20,2011-05-06-12-48-53,0.903526079993
20,2011-04-11-11-34-00,0.903753586967
20,2011-10-14-13-34-11,0.911195324628
20,2011-10-13-12-02-49,0.911129909918
20,2011-05-03-05-38-57,0.903614457831
20,2011-04-27-16-11-04,0.903568186579
20,2011-07-15-11-52-27,0.904022247846
20,2011-06-21-13-28-03,0.903935713633
20,2011-12-06-13-47-38,0.907128769916
20,2011-01-04-22-03-31,0.902618409746
20,2011-11-11-20-03-47,0.908302132144
20,2011-04-05-13-27-20,0.904007893624
20,2011-04-20-10-35-39,0.903540647566
20,2011-10-28-16-22-59,0.90869071931
20,2011-11-01-16-52-59,0.908666167699
20,2011-06-27-21-59-11,0.903879889732
20,2011-03-28-19-48-10,0.904748358343
20,2011-09-28-11-28-35,0.910271438093
20,2011-06-10-19-51-37,0.90402759692
20,2011-04-15-11-20-35,0.903540647566
20,2011-04-08-18-58-28,0.903726851852
20,2011-04-04-19-24-20,0.904694336053
20,2011-07-22-13-30-59,0.910394520939
20,2011-01-12-13-04-04,0.904215629045
20,2011-09-16-11-16-52,0.910475482912
20,2011-08-04-16-05-30,0.910654959658
20,2011-12-17-21-56-41,0.907119095143
20,2011-11-06-07-19-22,0.908221151682
20,2011-05-24-13-38-00,0.903429019753
20,2011-03-17-13-54-15,0.904727759453
20,2011-02-11-19-53-35,0.905526664627
20,2011-09-06-17-36-44,0.910564169625
20,2011-02-08-15-25-59,0.905561652926
20,2011-03-28-13-14-16,0.904863531811
20,2011-03-15-12-08-17,0.904974428254
20,2011-07-12-17-23-15,0.903901799439
20,2011-04-26-15-17-48,0.903540647566
20,2011-06-24-14-04-27,0.903879889732
20,2011-06-01-12-44-40,0.904233362381
20,2011-10-18-12-14-26,0.911180039848
20,2011-01-14-14-05-43,0.904312770974
30,2011-08-08-15-23-29,0.90039625885
30,2011-06-15-12-01-22,0.894374073763
30,2011-02-22-16-36-07,0.894763629831
30,2011-10-21-03-01-15,0.900970494729
30,2011-03-29-11-12-58,0.894553847952
30,2011-02-24-15-22-25,0.894699763168
30,2011-12-27-17-43-58,0.898314405917
30,2011-04-13-12-47-48,0.893615795613
30,2011-12-21-21-27-00,0.898314405917
30,2011-07-26-11-55-24,0.900353119711
30,2011-08-19-12-45-00,0.900600875853
30,2011-02-10-11-26-37,0.894865487848
30,2011-10-26-14-11-10,0.898539563409
30,2011-04-01-11-19-28,0.894380876029
30,2011-02-14-21-46-51,0.894906671195
30,2011-04-21-11-07-21,0.893775100402
30,2011-04-19-13-44-17,0.893467758267
30,2011-12-01-16-38-46,0.898401889176
30,2011-03-21-11-08-34,0.894657139497
30,2011-12-05-13-10-14,0.898401450231
30,2011-07-18-12-31-36,0.894429332741
30,2011-12-28-13-21-09,0.898328154646
30,2011-11-30-15-11-07,0.898425478127
30,2011-09-18-10-56-06,0.900342270394
30,2011-07-21-12-06-01,0.900437509115
30,2011-08-31-11-32-36,0.900240798074
30,2011-05-11-20-11-47,0.894006066561
30,2011-05-05-14-19-00,0.893905417565
30,2011-11-03-18-19-28,0.898765913586
30,2011-07-25-19-56-56,0.900353119711
30,2011-11-22-13-01-21,0.898502952891
30,2011-09-22-11-32-34,0.900225727225
30,2011-09-28-02-30-26,0.899908120715
30,2011-06-29-13-25-12,0.894190842363
30,2011-07-07-12-02-37,0.894319334269
30,2011-11-23-14-30-40,0.898511316194
30,2011-03-24-19-29-31,0.894553746309
30,2011-06-13-19-00-08,0.894411937624
30,2011-12-02-15-47-00,0.898407468424
30,2011-06-02-10-54-15,0.894816192529
30,2011-06-23-11-02-50,0.894190842363
30,2011-05-09-12-29-32,0.893920568956
30,2011-01-25-12-07-04,0.894136460554
30,2011-12-07-12-52-56,0.898402485633
30,2011-01-26-14-19-45,0.894819101854
30,2011-06-09-12-49-21,0.894411937624
30,2011-05-13-12-51-21,0.893945429197
30,2011-05-20-17-00-21,0.893957480673
30,2011-02-16-14-07-09,0.894765984281
30,2011-12-08-13-43-34,0.898283841111
30,2011-05-26-12-15-02,0.893996593812
30,2011-11-10-19-42-09,0.898874687413
30,2011-11-07-16-05-06,0.898762545065
30,2011-08-20-22-08-35,0.900612265674
30,2011-08-29-15-18-02,0.900267996618
30,2011-09-13-11-12-10,0.900284330395
30,2011-05-12-12-44-30,0.89393163123
30,2011-10-16-12-57-46,0.900867636323
30,2011-01-03-16-43-36,0.89924798302
30,2011-05-06-12-48-53,0.893906932899
30,2011-04-11-11-34-00,0.893692294417
30,2011-10-14-13-34-11,0.9008535969
30,2011-10-13-12-02-49,0.900805646556
30,2011-05-03-05-38-57,0.893890352887
30,2011-04-27-16-11-04,0.893867552894
30,2011-07-15-11-52-27,0.8943238222
30,2011-06-21-13-28-03,0.894311218065
30,2011-12-06-13-47-38,0.898462088207
30,2011-01-04-22-03-31,0.891614602475
30,2011-11-11-20-03-47,0.898932552297
30,2011-04-05-13-27-20,0.893919643116
30,2011-04-20-10-35-39,0.8937781475
30,2011-10-28-16-22-59,0.898588670158
30,2011-11-01-16-52-59,0.898540176634
30,2011-06-27-21-59-11,0.894190842363
30,2011-03-28-19-48-10,0.894494608574
30,2011-09-28-11-28-35,0.899898287845
30,2011-06-10-19-51-37,0.894411937624
30,2011-04-15-11-20-35,0.893541672689
30,2011-04-08-18-58-28,0.893673944938
30,2011-04-04-19-24-20,0.894402610076
30,2011-07-22-13-30-59,0.900353119711
30,2011-01-12-13-04-04,0.89358372457
30,2011-09-16-11-16-52,0.900330851944
30,2011-08-04-16-05-30,0.900512805571
30,2011-12-17-21-56-41,0.898299488195
30,2011-11-06-07-19-22,0.898768010023
30,2011-05-24-13-38-00,0.893964990985
30,2011-03-17-13-54-15,0.894543794008
30,2011-02-11-19-53-35,0.894890578635
30,2011-09-06-17-36-44,0.900316795917
30,2011-02-08-15-25-59,0.894895731736
30,2011-03-28-13-14-16,0.894607628233
30,2011-03-15-12-08-17,0.894594834999
30,2011-07-12-17-23-15,0.894252905445
30,2011-04-26-15-17-48,0.893801883952
30,2011-06-24-14-04-27,0.894190842363
30,2011-06-01-12-44-40,0.894748723158
30,2011-10-18-12-14-26,0.900944186826
30,2011-01-14-14-05-43,0.893635611147
40,2011-08-08-15-23-29,0.906622849868
40,2011-06-15-12-01-22,0.901394346317
40,2011-02-22-16-36-07,0.901892551893
40,2011-10-21-03-01-15,0.906822216105
40,2011-03-29-11-12-58,0.901480876168
40,2011-02-24-15-22-25,0.901855548314
40,2011-12-27-17-43-58,0.90437138123
40,2011-04-13-12-47-48,0.90078200889
40,2011-12-21-21-27-00,0.90437138123
40,2011-07-26-11-55-24,0.906730683738
40,2011-08-19-12-45-00,0.906687816509
40,2011-02-10-11-26-37,0.902170179547
40,2011-10-26-14-11-10,0.904675334564
40,2011-04-01-11-19-28,0.901309574711
40,2011-02-14-21-46-51,0.902063302323
40,2011-04-21-11-07-21,0.900887747903
40,2011-04-19-13-44-17,0.900715581139
40,2011-12-01-16-38-46,0.904490304812
40,2011-03-21-11-08-34,0.901494783307
40,2011-12-05-13-10-14,0.904441466093
40,2011-07-18-12-31-36,0.901553423776
40,2011-12-28-13-21-09,0.904380689963
40,2011-11-30-15-11-07,0.904473608226
40,2011-09-18-10-56-06,0.906535897038
40,2011-07-21-12-06-01,0.90677815511
40,2011-08-31-11-32-36,0.906443406984
40,2011-05-11-20-11-47,0.900864794405
40,2011-05-05-14-19-00,0.900790826028
40,2011-11-03-18-19-28,0.904708637083
40,2011-07-25-19-56-56,0.906730683738
40,2011-11-22-13-01-21,0.904512643785
40,2011-09-22-11-32-34,0.906534749035
40,2011-09-28-02-30-26,0.906212405563
40,2011-06-29-13-25-12,0.901246212771
40,2011-07-07-12-02-37,0.901306391955
40,2011-11-23-14-30-40,0.904507776846
40,2011-03-24-19-29-31,0.901473608646
40,2011-06-13-19-00-08,0.901407374144
40,2011-12-02-15-47-00,0.904474418605
40,2011-06-02-10-54-15,0.901615511996
40,2011-06-23-11-02-50,0.901274795633
40,2011-05-09-12-29-32,0.900835551396
40,2011-01-25-12-07-04,0.901630065655
40,2011-12-07-12-52-56,0.90442430058
40,2011-01-26-14-19-45,0.902169842723
40,2011-06-09-12-49-21,0.901439000153
40,2011-05-13-12-51-21,0.900851014222
40,2011-05-20-17-00-21,0.900815850816
40,2011-02-16-14-07-09,0.902035952961
40,2011-12-08-13-43-34,0.904328188283
40,2011-05-26-12-15-02,0.90080761661
40,2011-11-10-19-42-09,0.904720973287
40,2011-11-07-16-05-06,0.904707330934
40,2011-08-20-22-08-35,0.906664172197
40,2011-08-29-15-18-02,0.906480218281
40,2011-09-13-11-12-10,0.906411788132
40,2011-05-12-12-44-30,0.900811664642
40,2011-10-16-12-57-46,0.906778851664
40,2011-01-03-16-43-36,0.903344706782
40,2011-05-06-12-48-53,0.900744005539
40,2011-04-11-11-34-00,0.900810985524
40,2011-10-14-13-34-11,0.906836153876
